time_s,motor_command,active_power_w,current_ma,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,weightonbit,drillz1position_m,ROP_ms,s_active_power_w,s_current_ma,s_tacho_rpm,s_imu_x_g,s_imu_y_g,s_imu_z_g,s_weightonbit,s_ROP_ms,air,mud,concrete,wet_mud,y_air,y_mud,y_concrete,y_wet_mud
317,1000,0,0,0,.24150001,.2656,.94129997,1.285,-.00095249998,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.88022816,-1.4863902,1,0,0,0,.9984035971178145,.0012022498723481,.0004951801032197,1.29039695027e-06
318,1000,0,0,0,.24150001,.2656,.94129997,1.023,-.00095249998,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.88003165,-1.4863902,1,0,0,0,.9984035971177144,.0012022498724265,.0004951801032385,1.29039695031e-06
319,1000,0,0,0,.24150001,.2656,.94129997,1.023,-.00095249998,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.88003165,-1.4863902,1,0,0,0,.9984035971177144,.0012022498724265,.0004951801032385,1.29039695031e-06
320,1000,0,0,0,.24150001,.2656,.94129997,1.023,-.00095249998,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.88003165,-1.4863902,1,0,0,0,.9984035971177144,.0012022498724265,.0004951801032385,1.29039695031e-06
322,1000,0,0,0,.24150001,.2656,.94129997,-41.81,-.00095000002,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.84790599,-1.4863902,1,0,0,0,.9984035970970715,.001202249888681,.0004951801070636,1.29039695869e-06
323,1000,0,0,0,.24150001,.2656,.94129997,-41.81,-.00095000002,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.84790599,-1.4863902,1,0,0,0,.9984035970970715,.001202249888681,.0004951801070636,1.29039695869e-06
324,1000,0,0,0,.24150001,.2656,.94129997,-41.81,-.00095000002,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.84790599,-1.4863902,1,0,0,0,.9984035970970715,.001202249888681,.0004951801070636,1.29039695869e-06
325,1000,0,0,0,.24150001,.2656,.94129997,111.552,-.00095000002,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.96293068,-1.4863902,1,0,0,0,.9984035971489722,.0012022498481961,.0004951800972542,1.29039693825e-06
327,1000,0,0,0,.24150001,.2656,.94129997,126.317,-.0009475,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.97400475,-1.4863902,1,0,0,0,.9984035971524254,.0012022498455463,.0004951800965811,1.29039693696e-06
328,1000,0,0,0,.24150001,.2656,.94129997,126.317,-.0009475,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.97400475,-1.4863902,1,0,0,0,.9984035971524254,.0012022498455463,.0004951800965811,1.29039693696e-06
329,1000,0,0,0,.24150001,.2656,.94129997,126.317,-.0009475,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.97400475,-1.4863902,1,0,0,0,.9984035971524254,.0012022498455463,.0004951800965811,1.29039693696e-06
330,1000,0,0,0,.24150001,.2656,.94129997,130.969,-.0009475,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.97749382,-1.4863902,1,0,0,0,.9984035971535042,.0012022498447193,.0004951800963705,1.29039693656e-06
331,1000,0,0,0,.24150001,.2656,.94129997,130.969,-.0009475,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.97749382,-1.4863902,1,0,0,0,.9984035971535042,.0012022498447193,.0004951800963705,1.29039693656e-06
332,1000,0,0,0,.24150001,.2656,.94129997,130.969,-.0009475,0,-4.9608264,-4.3660207,-1.0933483,.9344368,.074020959,.27679873,.97749382,-1.4863902,1,0,0,0,.9984035971535042,.0012022498447193,.0004951800963705,1.29039693656e-06
333,1000,457.77429,706.45959,0,.22830001,.2617,.9425,130.969,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.97749382,-1.4863902,1,0,0,0,.9984004717554633,.001202018447339,.0004931213105373,1.29234924365e-06
334,1000,457.77429,706.45959,0,.22830001,.2617,.9425,103.636,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.95699352,-1.4863902,1,0,0,0,.9983955459544562,.0012052873122899,.0004934188877607,1.29447361472e-06
335,1000,457.77429,706.45959,0,.22830001,.2617,.9425,103.636,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.95699352,-1.4863902,1,0,0,0,.9983955459544562,.0012052873122899,.0004934188877607,1.29447361472e-06
